Name,Country_code,Country,Cultural_Group,Cleaned_Name,Token_Count
 Robert Davis,ar_EG,EG,African,Robert Davis,2
 Jennifer Bennett MD,ar_EG,EG,African,Jennifer Bennett MD,3
 Christina Jones DVM,ar_EG,EG,African,Christina Jones DVM,5
 Cheryl Nixon,ar_EG,EG,African,Cheryl Nixon,3
 Louis Pruitt,ar_EG,EG,African,Louis Pruitt,2
 Rickey Norton,ar_EG,EG,African,Rickey Norton,3
 David Schneider,ar_EG,EG,African,David Schneider,2
 Phillip Richardson,ar_EG,EG,African,Phillip Richardson,3
 Reginald Sexton,ar_EG,EG,African,Reginald Sexton,5
 Matthew Klein,ar_EG,EG,African,Matthew Klein,2
 Marc Moreno,ar_EG,EG,African,Marc Moreno,2
Kenneth Sexton,ar_EG,EG,African,Kenneth Sexton,4
 Julia Gibson,ar_EG,EG,African,Julia Gibson,3
 Lisa Jones,ar_EG,EG,African,Lisa Jones,2
 Megan Meyer,ar_EG,EG,African,Megan Meyer,3
 Jodi Martin,ar_EG,EG,African,Jodi Martin,3
 Daniel George,ar_EG,EG,African,Daniel George,2
 Jorge Lawrence,ar_EG,EG,African,Jorge Lawrence,3
 Cameron Hernandez,ar_EG,EG,African,Cameron Hernandez,3
 Jorge Roberson,ar_EG,EG,African,Jorge Roberson,4
 Sandra Chapman,ar_EG,EG,African,Sandra Chapman,3
 Susan Kelley,ar_EG,EG,African,Susan Kelley,2
 Allison Watts,ar_EG,EG,African,Allison Watts,3
 Michael Ponce,ar_EG,EG,African,Michael Ponce,3
 Tiffany Krueger,ar_EG,EG,African,Tiffany Krueger,5
 Suzanne Gilbert,ar_EG,EG,African,Suzanne Gilbert,4
 George Sweeney,ar_EG,EG,African,George Sweeney,3
 Matthew Poole,ar_EG,EG,African,Matthew Poole,3
 Bianca Jones,ar_EG,EG,African,Bianca Jones,4
 Eric Wade,ar_EG,EG,African,Eric Wade,2
 Meredith Cross,ar_EG,EG,African,Meredith Cross,4
 Randall Montoya,ar_EG,EG,African,Randall Montoya,4
 Andrea Coleman,ar_EG,EG,African,Andrea Coleman,3
 Benjamin Wallace,ar_EG,EG,African,Benjamin Wallace,3
 Kenneth Hall,ar_EG,EG,African,Kenneth Hall,3
 Stacy Black,ar_EG,EG,African,Stacy Black,3
 Todd Jackson,ar_EG,EG,African,Todd Jackson,2
 Tom Fleming,ar_EG,EG,African,Tom Fleming,2
 Timothy Owens,ar_EG,EG,African,Timothy Owens,3
 Gerald Wheeler,ar_EG,EG,African,Gerald Wheeler,3
 Donna Evans,ar_EG,EG,African,Donna Evans,3
 Stephanie Mccarthy,ar_EG,EG,African,Stephanie Mccarthy,7
 Christian Shelton,ar_EG,EG,African,Christian Shelton,3
 Anthony Webster,ar_EG,EG,African,Anthony Webster,2
 Valerie Hunt,ar_EG,EG,African,Valerie Hunt,3
 Matthew Yu,ar_EG,EG,African,Matthew Yu,2
 Luke Hernandez,ar_EG,EG,African,Luke Hernandez,2
 Anna Chambers,ar_EG,EG,African,Anna Chambers,2
 Stephen Perez,ar_EG,EG,African,Stephen Perez,2
 Valerie Smith,ar_EG,EG,African,Valerie Smith,3
 Tamara Gibson,ar_EG,EG,African,Tamara Gibson,3
 Christian Hinton,ar_EG,EG,African,Christian Hinton,3
 Tammy Bailey,ar_EG,EG,African,Tammy Bailey,3
 Lauren Turner,ar_EG,EG,African,Lauren Turner,3
 Taylor Wiley,ar_EG,EG,African,Taylor Wiley,2
 Jennifer Mahoney,ar_EG,EG,African,Jennifer Mahoney,3
 Ricky Schwartz,ar_EG,EG,African,Ricky Schwartz,3
 Jennifer Jones,ar_EG,EG,African,Jennifer Jones,2
 Margaret Garcia,ar_EG,EG,African,Margaret Garcia,3
 Nicole King,ar_EG,EG,African,Nicole King,3
 Christopher Davis,ar_EG,EG,African,Christopher Davis,2
 Joseph Davis,ar_EG,EG,African,Joseph Davis,2
 Cassandra Price,ar_EG,EG,African,Cassandra Price,3
 Jeffrey Cox,ar_EG,EG,African,Jeffrey Cox,3
 Emily Mitchell,ar_EG,EG,African,Emily Mitchell,2
 Kevin Wall,ar_EG,EG,African,Kevin Wall,2
 Michele Lopez,ar_EG,EG,African,Michele Lopez,4
 Kaitlyn Jacobson,ar_EG,EG,African,Kaitlyn Jacobson,5
 Mary Diaz,ar_EG,EG,African,Mary Diaz,2
 Joshua Garcia,ar_EG,EG,African,Joshua Garcia,3
 David Sullivan,ar_EG,EG,African,David Sullivan,2
 Brittany Bowers,ar_EG,EG,African,Brittany Bowers,5
 Patrick Powers,ar_EG,EG,African,Patrick Powers,2
 Robert Sanford,ar_EG,EG,African,Robert Sanford,2
 Jonathan Skinner,ar_EG,EG,African,Jonathan Skinner,2
 Brian Daniels,ar_EG,EG,African,Brian Daniels,2
 Michael Mcmillan,ar_EG,EG,African,Michael Mcmillan,4
 Nicole Fletcher,ar_EG,EG,African,Nicole Fletcher,3
 Deborah Adams,ar_EG,EG,African,Deborah Adams,3
 Thomas Collins,ar_EG,EG,African,Thomas Collins,2
Allison Sellers,ar_EG,EG,African,Allison Sellers,3
 Timothy Turner,ar_EG,EG,African,Timothy Turner,3
 Daniel Williams,ar_EG,EG,African,Daniel Williams,2
 Marissa Davis,ar_EG,EG,African,Marissa Davis,3
 Benjamin Butler,ar_EG,EG,African,Benjamin Butler,3
 Sean Branch,ar_EG,EG,African,Sean Branch,2
 Nicole Larsen,ar_EG,EG,African,Nicole Larsen,4
 Jason Jackson,ar_EG,EG,African,Jason Jackson,2
 Dr. Latasha Patterson,ar_EG,EG,African,Latasha Patterson,3
 Rebekah Wilson,ar_EG,EG,African,Rebekah Wilson,4
 Leslie Cochran,ar_EG,EG,African,Leslie Cochran,4
 Garrett Green II,ar_EG,EG,African,Garrett Green II,4
 Christopher Meyers,ar_EG,EG,African,Christopher Meyers,3
 Alicia Smith,ar_EG,EG,African,Alicia Smith,4
 Dorothy Johnson,ar_EG,EG,African,Dorothy Johnson,4
 Melinda Caldwell,ar_EG,EG,African,Melinda Caldwell,3
 Rachel Petersen,ar_EG,EG,African,Rachel Petersen,3
 Robert Wilkinson,ar_EG,EG,African,Robert Wilkinson,2
 Kendra Walsh,ar_EG,EG,African,Kendra Walsh,3
 Linda Alexander,ar_EG,EG,African,Linda Alexander,3
 Brandi Jimenez,ar_EG,EG,African,Brandi Jimenez,4
 Aaron Tran,ar_EG,EG,African,Aaron Tran,2
 Justin Nelson,ar_EG,EG,African,Justin Nelson,2
 Jessica Yang,ar_EG,EG,African,Jessica Yang,2
 Mark Rodriguez,ar_EG,EG,African,Mark Rodriguez,2
 Timothy Gonzales,ar_EG,EG,African,Timothy Gonzales,4
 Shelby Lewis,ar_EG,EG,African,Shelby Lewis,4
 Nicole Nunez,ar_EG,EG,African,Nicole Nunez,5
 Steven Rivera,ar_EG,EG,African,Steven Rivera,2
 Sally Simmons,ar_EG,EG,African,Sally Simmons,3
 John Reeves,ar_EG,EG,African,John Reeves,2
 Kaitlin Campbell,ar_EG,EG,African,Kaitlin Campbell,4
 Crystal Becker,ar_EG,EG,African,Crystal Becker,2
 Nicole Vaughn,ar_EG,EG,African,Nicole Vaughn,4
 Jason Kramer,ar_EG,EG,African,Jason Kramer,2
 Logan Casey,ar_EG,EG,African,Logan Casey,3
